productId,partNumber,brand,name,description,descriptionQuality,specifications,imageUrl,catalogUrl
PHEN-8B-S004-HBJ,8B-S004-HBJ,Phenomenex,"Strata C18-T (55 µm, 140 Å), 500 mg / 3 mL, Tubes, 50/Pk",Wide pore for the extraction of large hydrophobic molecules (up to 75 kDa),low,"{""Surface Area (sq.Meter/g) m²/g"": ""CoreTechnique SP"", ""CoreTechnique SP"": ""CoreSeparationMode Reversed Phase"", ""CoreSeparationMode Reversed Phase"": ""CoreBrand Strata"", ""CoreBrand Strata"": ""CorePhase C18-T"", ""CorePhase C18-T"": ""Housing Volume 3.0000"", ""Particle Size 55.0000"": ""Phenomenex is a technology leader committed to developing novel analytical chemistry solutions that solve the separation and purification challenges of researchers worldwide.""}",,https://www.phenomenex.com/part?partNo=8B-S004-HBJ
PHEN-8B-S004-HCH,8B-S004-HCH,Phenomenex,"Strata C18-T (55 µm, 140 Å), 500 mg / 6 mL, Tubes, 30/Pk",Wide pore for the extraction of large hydrophobic molecules (up to 75 kDa),low,"{""Surface Area (sq.Meter/g) m²/g"": ""CoreTechnique SP"", ""CoreTechnique SP"": ""CoreSeparationMode Reversed Phase"", ""CoreSeparationMode Reversed Phase"": ""CoreBrand Strata"", ""CoreBrand Strata"": ""CorePhase C18-T"", ""CorePhase C18-T"": ""Housing Volume 6.0000"", ""Particle Size 55.0000"": ""Phenomenex is a technology leader committed to developing novel analytical chemistry solutions that solve the separation and purification challenges of researchers worldwide.""}",,https://www.phenomenex.com/part?partNo=8B-S004-HCH
PHEN-8B-S004-JCH,8B-S004-JCH,Phenomenex,"Strata C18-T (55 µm, 140 Å), 1 g / 6 mL, Tubes, 30/Pk",Wide pore for the extraction of large hydrophobic molecules (up to 75 kDa),low,"{""Surface Area (sq.Meter/g) m²/g"": ""CoreTechnique SP"", ""CoreTechnique SP"": ""CoreSeparationMode Reversed Phase"", ""CoreSeparationMode Reversed Phase"": ""CoreBrand Strata"", ""CoreBrand Strata"": ""CorePhase C18-T"", ""CorePhase C18-T"": ""Housing Volume 6.0000"", ""Particle Size 55.0000"": ""Phenomenex is a technology leader committed to developing novel analytical chemistry solutions that solve the separation and purification challenges of researchers worldwide.""}",,https://www.phenomenex.com/part?partNo=8B-S004-JCH
PHEN-8B-S004-JDG-T,8B-S004-JDG-T,Phenomenex,"Strata C18-T (55 µm, 140 Å), 1 g / 12 mL, Giga Tubes Teflon, 20/Pk",Wide pore for the extraction of large hydrophobic molecules (up to 75 kDa),low,"{""Surface Area (sq.Meter/g) m²/g"": ""CoreTechnique SP"", ""CoreTechnique SP"": ""CoreSeparationMode Reversed Phase"", ""CoreSeparationMode Reversed Phase"": ""CoreBrand Strata"", ""CoreBrand Strata"": ""CorePhase C18-T"", ""CorePhase C18-T"": ""Housing Volume 12.0000"", ""Particle Size 55.0000"": ""Phenomenex is a technology leader committed to developing novel analytical chemistry solutions that solve the separation and purification challenges of researchers worldwide.""}",,https://www.phenomenex.com/part?partNo=8B-S004-JDG-T
PHEN-8B-S004-MFF,8B-S004-MFF,Phenomenex,"Strata C18-T (55 µm, 140 Å), 10 g / 60 mL, Giga Tubes, 16/Pk",Wide pore for the extraction of large hydrophobic molecules (up to 75 kDa),low,"{""Surface Area (sq.Meter/g) 300 m²/g"": ""CoreTechnique SP"", ""CoreTechnique SP"": ""CoreSeparationMode Reversed Phase"", ""CoreSeparationMode Reversed Phase"": ""Pore Size 140.0000"", ""Pore Size 140.0000"": ""CoreBrand Strata"", ""CoreBrand Strata"": ""CorePhase C18-T"", ""CorePhase C18-T"": ""Housing Volume 60.0000"", ""Particle Size 55.0000"": ""Phenomenex is a technology leader committed to developing novel analytical chemistry solutions that solve the separation and purification challenges of researchers worldwide.""}",,https://www.phenomenex.com/part?partNo=8B-S004-MFF
PHEN-8E-S004-DGB,8E-S004-DGB,Phenomenex,"Strata C18-T (55 µm, 140 Å), 50 mg / well, 96-Well Plates, 2/Pk",Wide pore for the extraction of large hydrophobic molecules (up to 75 kDa),low,"{""Surface Area (sq.Meter/g) m²/g"": ""CoreTechnique SP"", ""CoreTechnique SP"": ""CoreSeparationMode Reversed Phase"", ""CoreSeparationMode Reversed Phase"": ""CoreBrand Strata"", ""CoreBrand Strata"": ""CorePhase C18-T"", ""CorePhase C18-T"": ""Housing Volume 2.0000"", ""Particle Size 55.0000"": ""Phenomenex is a technology leader committed to developing novel analytical chemistry solutions that solve the separation and purification challenges of researchers worldwide.""}",,https://www.phenomenex.com/part?partNo=8E-S004-DGB
PHEN-8B-S014-CAK,8B-S014-CAK,Phenomenex,"Strata SDBL 100 µm Styrene-divinylbenzene, 25 mg / 1 mL, Tubes, 100/Pk",Extraction of hydrophobic and aromatic compounds,extracted,"{""Surface Area (sq.Meter/g) m²/g"": ""CoreTechnique SP"", ""CoreTechnique SP"": ""CoreSeparationMode Reversed Phase"", ""CoreSeparationMode Reversed Phase"": ""CoreBrand Strata"", ""CoreBrand Strata"": ""CorePhase SDB-L"", ""CorePhase SDB-L"": ""Housing Volume 1.0000"", ""Particle Size 100.0000"": ""Phenomenex is a technology leader committed to developing novel analytical chemistry solutions that solve the separation and purification challenges of researchers worldwide.""}",,https://www.phenomenex.com/part?partNo=8B-S014-CAK
PHEN-8B-S014-DAK,8B-S014-DAK,Phenomenex,"Strata SDBL 100 µm Styrene-divinylbenzene, 50 mg / 1 mL, Tubes, 100/Pk",Extraction of hydrophobic and aromatic compounds,extracted,"{""Surface Area (sq.Meter/g) m²/g"": ""CoreTechnique SP"", ""CoreTechnique SP"": ""CoreSeparationMode Reversed Phase"", ""CoreSeparationMode Reversed Phase"": ""CoreBrand Strata"", ""CoreBrand Strata"": ""CorePhase SDB-L"", ""CorePhase SDB-L"": ""Housing Volume 1.0000"", ""Particle Size 100.0000"": ""Phenomenex is a technology leader committed to developing novel analytical chemistry solutions that solve the separation and purification challenges of researchers worldwide.""}",,https://www.phenomenex.com/part?partNo=8B-S014-DAK
PHEN-8B-S014-EAK,8B-S014-EAK,Phenomenex,"Strata SDBL 100 µm Styrene-divinylbenzene, 100 mg / 1 mL, Tubes, 100/Pk",Extraction of hydrophobic and aromatic compounds,extracted,"{""Surface Area (sq.Meter/g) m²/g"": ""CoreTechnique SP"", ""CoreTechnique SP"": ""CoreSeparationMode Reversed Phase"", ""CoreSeparationMode Reversed Phase"": ""CoreBrand Strata"", ""CoreBrand Strata"": ""CorePhase SDB-L"", ""CorePhase SDB-L"": ""Housing Volume 1.0000"", ""Particle Size 100.0000"": ""Phenomenex is a technology leader committed to developing novel analytical chemistry solutions that solve the separation and purification challenges of researchers worldwide.""}",,https://www.phenomenex.com/part?partNo=8B-S014-EAK
PHEN-8B-S014-FBJ,8B-S014-FBJ,Phenomenex,"Strata SDBL 100 µm Styrene-divinylbenzene, 200 mg / 3 mL, Tubes, 50/Pk",Extraction of hydrophobic and aromatic compounds,extracted,"{""Surface Area (sq.Meter/g) m²/g"": ""CoreTechnique SP"", ""CoreTechnique SP"": ""CoreSeparationMode Reversed Phase"", ""CoreSeparationMode Reversed Phase"": ""CoreBrand Strata"", ""CoreBrand Strata"": ""CorePhase SDB-L"", ""CorePhase SDB-L"": ""Housing Volume 3.0000"", ""Particle Size 100.0000"": ""Phenomenex is a technology leader committed to developing novel analytical chemistry solutions that solve the separation and purification challenges of researchers worldwide.""}",,https://www.phenomenex.com/part?partNo=8B-S014-FBJ
PHEN-8B-S014-FCH,8B-S014-FCH,Phenomenex,"Strata SDBL 100 µm Styrene-divinylbenzene, 200 mg / 6 mL, Tubes, 30/Pk",Extraction of hydrophobic and aromatic compounds,extracted,"{""Surface Area (sq.Meter/g) m²/g"": ""CoreTechnique SP"", ""CoreTechnique SP"": ""CoreSeparationMode Reversed Phase"", ""CoreSeparationMode Reversed Phase"": ""CoreBrand Strata"", ""CoreBrand Strata"": ""CorePhase SDB-L"", ""CorePhase SDB-L"": ""Housing Volume 6.0000"", ""Particle Size 100.0000"": ""Phenomenex is a technology leader committed to developing novel analytical chemistry solutions that solve the separation and purification challenges of researchers worldwide.""}",,https://www.phenomenex.com/part?partNo=8B-S014-FCH
PHEN-8B-S014-HBJ,8B-S014-HBJ,Phenomenex,"Strata SDBL 100 µm Styrene-divinylbenzene, 500 mg / 3 mL, Tubes, 50/Pk",Extraction of hydrophobic and aromatic compounds,extracted,"{""Surface Area (sq.Meter/g) m²/g"": ""CoreTechnique SP"", ""CoreTechnique SP"": ""CoreSeparationMode Reversed Phase"", ""CoreSeparationMode Reversed Phase"": ""CoreBrand Strata"", ""CoreBrand Strata"": ""CorePhase SDB-L"", ""CorePhase SDB-L"": ""Housing Volume 3.0000"", ""Particle Size 100.0000"": ""Phenomenex is a technology leader committed to developing novel analytical chemistry solutions that solve the separation and purification challenges of researchers worldwide.""}",,https://www.phenomenex.com/part?partNo=8B-S014-HBJ
PHEN-8B-S014-HCH,8B-S014-HCH,Phenomenex,"Strata SDBL 100 µm Styrene-divinylbenzene, 500 mg / 6 mL, Tubes, 30/Pk",Extraction of hydrophobic and aromatic compounds,extracted,"{""Surface Area (sq.Meter/g) m²/g"": ""CoreTechnique SP"", ""CoreTechnique SP"": ""CoreSeparationMode Reversed Phase"", ""CoreSeparationMode Reversed Phase"": ""CoreBrand Strata"", ""CoreBrand Strata"": ""CorePhase SDB-L"", ""CorePhase SDB-L"": ""Housing Volume 6.0000"", ""Particle Size 100.0000"": ""Phenomenex is a technology leader committed to developing novel analytical chemistry solutions that solve the separation and purification challenges of researchers worldwide.""}",,https://www.phenomenex.com/part?partNo=8B-S014-HCH
PHEN-8B-S014-JCH,8B-S014-JCH,Phenomenex,"Strata SDBL 100 µm Styrene-divinylbenzene, 1 g / 6 mL, Tubes, 30/Pk",Extraction of hydrophobic and aromatic compounds,extracted,"{""Surface Area (sq.Meter/g) m²/g"": ""CoreTechnique SP"", ""CoreTechnique SP"": ""CoreSeparationMode Reversed Phase"", ""CoreSeparationMode Reversed Phase"": ""CoreBrand Strata"", ""CoreBrand Strata"": ""CorePhase SDB-L"", ""CorePhase SDB-L"": ""Housing Volume 6.0000"", ""Particle Size 100.0000"": ""Phenomenex is a technology leader committed to developing novel analytical chemistry solutions that solve the separation and purification challenges of researchers worldwide.""}",,https://www.phenomenex.com/part?partNo=8B-S014-JCH
