"productId","partNumber","name","brand","productType","particleSize","poreSize","columnLength","innerDiameter","phaseType","phRange","status"
"AGIL-699768-901T","699768-901T","InfinityLab Poroshell 120 Bonus-RP 2.1 x 50 mm, 2.7 µm, narrow bore LC column, with column ID","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","50 mm","2.1 mm","Bonus-RP","1.5-10.0","active"
"AGIL-699968-301T","699968-301T","InfinityLab Poroshell 120 Bonus-RP 3, 50 mm, 2.7 µm, with column ID","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","50 mm","3.0 mm","Bonus-RP","1.5-10.0","active"
"AGIL-823750-925","823750-925","InfinityLab Poroshell 120 Bonus-RP 3.0 mm, 2.7 µm, UHPLC guard, 3/pk","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","5 mm","3.0 mm","Bonus-RP","1.5-10.0","active"
"AGIL-695968-301","695968-301","InfinityLab Poroshell 120 Bonus-RP 3.0 x 100 mm, 2.7 µm","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","100 mm","3.0 mm","Bonus-RP","1.5-10.0","active"
"AGIL-695968-301K","695968-301K","InfinityLab Poroshell 120 Bonus-RP 3.0 x 100 mm, 2.7 µm, MVK, 3/pk","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","100 mm","3.0 mm","Bonus-RP","1.5-10.0","active"
"AGIL-695968-301T","695968-301T","InfinityLab Poroshell 120 Bonus-RP 3.0 x 100 mm, 2.7 µm, with column ID","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","100 mm","3.0 mm","Bonus-RP","1.5-10.0","active"
"AGIL-693968-301","693968-301","InfinityLab Poroshell 120 Bonus-RP 3.0 x 150 mm, 2.7 µm","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","150 mm","3.0 mm","Bonus-RP","1.5-10.0","active"
"AGIL-693968-301K","693968-301K","InfinityLab Poroshell 120 Bonus-RP 3.0 x 150 mm, 2.7 µm, MVK, 3/pk","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","150 mm","3.0 mm","Bonus-RP","1.5-10.0","active"
"AGIL-693968-301T","693968-301T","InfinityLab Poroshell 120 Bonus-RP 3.0 x 150 mm, 2.7 µm, with column ID","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","150 mm","3.0 mm","Bonus-RP","1.5-10.0","active"
"AGIL-699968-301","699968-301","InfinityLab Poroshell 120 Bonus-RP 3.0 x 50 mm, 2.7 µm","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","50 mm","3.0 mm","Bonus-RP","1.5-10.0","active"
"AGIL-699968-301K","699968-301K","InfinityLab Poroshell 120 Bonus-RP 3.0 x 50 mm, 2.7 µm, MVK, 3/pk","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","50 mm","3.0 mm","Bonus-RP","1.5-10.0","active"
"AGIL-820750-925","820750-925","InfinityLab Poroshell 120 Bonus-RP 4.6 mm, 2.7 µm, UHPLC guard, 3/pk","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","5 mm","4.6 mm","Bonus-RP","1.5-10.0","active"
"AGIL-695968-901","695968-901","InfinityLab Poroshell 120 Bonus-RP 4.6 x 100 mm, 2.7 µm","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","100 mm","4.6 mm","Bonus-RP","1.5-10.0","active"
