productId,partNumber,brand,name
THER-26098-0550,26098-0550,Thermo Fisher Scientific,"TraceGOLD™ TG-624 and TG-624SilMS GC Columns, 5.0μm, 0.53mm I.D., 30m length"
THER-26098-0600,26098-0600,Thermo Fisher Scientific,"TraceGOLD TG-POLAR GC Columns, 0.25μm, 0.25mm I.D., 30m length"
THER-26098-0605,26098-0605,Thermo Fisher Scientific,"TraceGOLD TG-POLAR GC Columns, 0.5μm, 0.25mm I.D., 30m length"
THER-26098-0610,26098-0610,Thermo Fisher Scientific,"TraceGOLD TG-POLAR GC Columns, 1.0μm, 0.25mm I.D., 30m length"
THER-26098-0615,26098-0615,Thermo Fisher Scientific,"TraceGOLD TG-POLAR GC Columns, 0.25μm, 0.32mm I.D., 30m length"
THER-26098-0620,26098-0620,Thermo Fisher Scientific,"TraceGOLD TG-POLAR GC Columns, 0.5μm, 0.32mm I.D., 30m length"
THER-26098-0625,26098-0625,Thermo Fisher Scientific,"TraceGOLD TG-POLAR GC Columns, 1.0μm, 0.32mm I.D., 30m length"
THER-26098-0630,26098-0630,Thermo Fisher Scientific,"TraceGOLD TG-POLAR GC Columns, 0.25μm, 0.53mm I.D., 30m length"
THER-26098-0635,26098-0635,Thermo Fisher Scientific,"TraceGOLD TG-POLAR GC Columns, 1.0μm, 0.53mm I.D., 30m length"
THER-26098-0640,26098-0640,Thermo Fisher Scientific,"TraceGOLD TG-POLAR GC Columns, 1.5μm, 0.53mm I.D., 30m length"
THER-26098-0700,26098-0700,Thermo Fisher Scientific,"TRACE™ TR-V1 GC Columns, 1.0μm, 0.25mm I.D., 30m length"
THER-26098-0705,26098-0705,Thermo Fisher Scientific,"TRACE™ TR-V1 GC Columns, 1.8μm, 0.25mm I.D., 30m length"
THER-26098-0710,26098-0710,Thermo Fisher Scientific,"TRACE™ TR-V1 GC Columns, 1.0μm, 0.32mm I.D., 30m length"
THER-26098-0715,26098-0715,Thermo Fisher Scientific,"TRACE™ TR-V1 GC Columns, 1.8μm, 0.32mm I.D., 30m length"
THER-26098-0720,26098-0720,Thermo Fisher Scientific,"TRACE™ TR-V1 GC Columns, 3.0μm, 0.32mm I.D., 30m length"
THER-26098-0725,26098-0725,Thermo Fisher Scientific,"TRACE™ TR-V1 GC Columns, 1.0μm, 0.53mm I.D., 30m length"
THER-26098-0730,26098-0730,Thermo Fisher Scientific,"TRACE™ TR-V1 GC Columns, 3.0μm, 0.53mm I.D., 30m length"
THER-26098-0735,26098-0735,Thermo Fisher Scientific,"TRACE™ TR-V1 GC Columns, 5.0μm, 0.53mm I.D., 30m length"
THER-26098-0800,26098-0800,Thermo Fisher Scientific,"TRACE™ TR-5MS GC Columns, 0.25μm, 0.25mm I.D., 30m length"
THER-083225,083225,Thermo Fisher Scientific,"Dionex™ IonPac™ AS19-4μm IC Columns, Microbore Guard, Each 1"
THER-302756TS,302756TS,Thermo Fisher Scientific,"Dionex™ IonPac™ AS16-4μm Analytical, Capillary, and Guard IC Columns 2 mm"
THER-303154,303154,Thermo Fisher Scientific,"Dionex™ IonPac™ AS32-Fast-4μm Analytical and Guard Columns"
THER-302558,302558,Thermo Fisher Scientific,"Dionex™ IonPac™ AS23-4μm Analytical and Guard Columns"
THER-35005,35005,Thermo Fisher Scientific,"Hypercarb™ Porous Graphitic Carbon HPLC Columns 10 mm"
THER-079717,079717,Thermo Fisher Scientific,"Acclaim™ Trinity Q1 LC Columns"
