productId,partNumber,brand,name
"PHEN-8B-S001-JCH","8B-S001-JCH","Phenomenex","Strata C18-E (55 µm, 70 Å), 1 g / 6 mL, Tubes, 30/Pk"
"PHEN-8B-S001-JEG","8B-S001-JEG","Phenomenex","Strata C18-E (55 µm, 70 Å), 1 g / 20 mL, Giga Tubes, 20/Pk"
"PHEN-8B-S001-KDG","8B-S001-KDG","Phenomenex","Strata C18-E (55 µm, 70 Å), 2 g / 12 mL, Giga Tubes, 20/Pk"
"PHEN-8B-S001-LEG","8B-S001-LEG","Phenomenex","Strata C18-E (55 µm, 70 Å), 5 g / 20 mL, Giga Tubes, 20/Pk"
"PHEN-8B-S001-MFF","8B-S001-MFF","Phenomenex","Strata C18-E (55 µm, 70 Å), 10 g / 60 mL, Giga Tubes, 16/Pk"
"PHEN-8B-S001-VFF","8B-S001-VFF","Phenomenex","Strata C18-E (55 µm, 70 Å), 20 g / 60 mL, Giga Tubes, 16/Pk"
"PHEN-8B-S001-VSN","8B-S001-VSN","Phenomenex","Strata C18-E (55 µm, 70 Å), 20 g / 150 mL, Giga Tubes, 8/Pk"
"PHEN-8B-S001-YSN","8B-S001-YSN","Phenomenex","Strata C18-E (55 µm, 70 Å), 50 g / 150 mL, Giga Tubes, 8/Pk"
"PHEN-8B-S001-ZSN","8B-S001-ZSN","Phenomenex","Strata C18-E (55 µm, 70 Å), 70 g / 150 mL, Giga Tubes, 8/Pk"
"PHEN-8E-S001-BGB","8E-S001-BGB","Phenomenex","Strata C18-E (55 µm, 70 Å), 15 mg / well, 96-Well Plates, 2/Pk"
"PHEN-8E-S001-CGB","8E-S001-CGB","Phenomenex","Strata C18-E (55 µm, 70 Å), 25 mg / well, 96-Well Plates, 2/Pk"
"PHEN-8E-S001-DGB","8E-S001-DGB","Phenomenex","Strata C18-E (55 µm, 70 Å), 50 mg / well, 96-Well Plates, 2/Pk"
"PHEN-8E-S001-EGB","8E-S001-EGB","Phenomenex","Strata C18-E (55 µm, 70 Å), 100 mg / well, 96-Well Plates, 2/Pk"
"PHEN-8L-S001-EAK","8L-S001-EAK","Phenomenex","Strata C18-E (55 µm, 70 Å), Tab-Less SPE Tubes 100mg/1mL, 100/Pk"
"PHEN-8L-S001-EBJ","8L-S001-EBJ","Phenomenex","Strata C18-E (55 µm, 70 Å), 100mg/3mL, Tab-less Tubes, 50/pk"
"PHEN-8B-S004-EAK","8B-S004-EAK","Phenomenex","Strata C18-T (55 µm, 140 Å), 100 mg / 1 mL, Tubes, 100/Pk"
"PHEN-8B-S004-FBJ","8B-S004-FBJ","Phenomenex","Strata C18-T (55 µm, 140 Å), 200 mg / 3 mL, Tubes, 50/Pk"
"PHEN-8B-S004-HBJ","8B-S004-HBJ","Phenomenex","Strata C18-T (55 µm, 140 Å), 500 mg / 3 mL, Tubes, 50/Pk"
"PHEN-8B-S004-HCH","8B-S004-HCH","Phenomenex","Strata C18-T (55 µm, 140 Å), 500 mg / 6 mL, Tubes, 30/Pk"
"PHEN-8B-S004-JCH","8B-S004-JCH","Phenomenex","Strata C18-T (55 µm, 140 Å), 1 g / 6 mL, Tubes, 30/Pk"
"PHEN-8B-S004-JDG-T","8B-S004-JDG-T","Phenomenex","Strata C18-T (55 µm, 140 Å), 1 g / 12 mL, Giga Tubes Teflon, 20/Pk"
"PHEN-8B-S004-MFF","8B-S004-MFF","Phenomenex","Strata C18-T (55 µm, 140 Å), 10 g / 60 mL, Giga Tubes, 16/Pk"
"PHEN-8E-S004-DGB","8E-S004-DGB","Phenomenex","Strata C18-T (55 µm, 140 Å), 50 mg / well, 96-Well Plates, 2/Pk"
"PHEN-8B-S014-CAK","8B-S014-CAK","Phenomenex","Strata SDBL 100 µm Styrene-divinylbenzene, 25 mg / 1 mL, Tubes, 100/Pk"
"PHEN-8B-S014-DAK","8B-S014-DAK","Phenomenex","Strata SDBL 100 µm Styrene-divinylbenzene, 50 mg / 1 mL, Tubes, 100/Pk"
"PHEN-8B-S014-EAK","8B-S014-EAK","Phenomenex","Strata SDBL 100 µm Styrene-divinylbenzene, 100 mg / 1 mL, Tubes, 100/Pk"
"PHEN-8B-S014-FBJ","8B-S014-FBJ","Phenomenex","Strata SDBL 100 µm Styrene-divinylbenzene, 200 mg / 3 mL, Tubes, 50/Pk"
"PHEN-8B-S014-FCH","8B-S014-FCH","Phenomenex","Strata SDBL 100 µm Styrene-divinylbenzene, 200 mg / 6 mL, Tubes, 30/Pk"
"PHEN-8B-S014-HBJ","8B-S014-HBJ","Phenomenex","Strata SDBL 100 µm Styrene-divinylbenzene, 500 mg / 3 mL, Tubes, 50/Pk"
"PHEN-8B-S014-HCH","8B-S014-HCH","Phenomenex","Strata SDBL 100 µm Styrene-divinylbenzene, 500 mg / 6 mL, Tubes, 30/Pk"
"PHEN-8B-S014-JCH","8B-S014-JCH","Phenomenex","Strata SDBL 100 µm Styrene-divinylbenzene, 1 g / 6 mL, Tubes, 30/Pk"
"PHEN-8B-S014-MFF","8B-S014-MFF","Phenomenex","Strata SDBL 100 µm Styrene-divinylbenzene, 10 g / 60 mL, Giga Tubes, 16/Pk"
"PHEN-8E-S014-DGB","8E-S014-DGB","Phenomenex","Strata SDBL 100 µm Styrene-divinylbenzene, 50 mg / well, 96-Well Plates, 2/Pk"
"PHEN-8L-S014-FCH","8L-S014-FCH","Phenomenex","Strata SDBL 100 µm Styrene-divinylbenzene, 200 mg / 6 mL, Tab-less Tubes, 30/Pk"
"PHEN-03A-4802-E0","03A-4802-E0","Phenomenex","Biozen 3.0 µm dSEC-1, Guard Column, 30x4.6"
"PHEN-03Q-4788-K0","03Q-4788-K0","Phenomenex","bioZen dSEC-2 guard column, (40*7.8) 3um"
"PHEN-420-546010W","420-546010W","Phenomenex","Guard Column Fusion C8, 5µm, 4.6x10"
"PHEN-401-546010W","401-546010W","Phenomenex","Guard Column Fusion C18, 5µm, 4.6x10"
"PHEN-470-546010W","470-546010W","Phenomenex","Guard Column Fusion C30, 5µm, 4.6x10"
"PHEN-302-546010W","302-546010W","Phenomenex","Guard Column FlexFire C30, 5µm, 4.6x10"
"PHEN-320-546010W","320-546010W","Phenomenex","Guard Column FlexFire mAb-RP, 5µm, 4.6x10"
"PHEN-301-546010W","301-546010W","Phenomenex","Guard Column FlexFire mAb-RP, 5µm, 4.6x10"
"PHEN-431-546010W","431-546010W","Phenomenex","Guard Column Fusion BIO C4, 5µm, 4.6x10"
"PHEN-DN3503-B","DN3503-B","Phenomenex","DNPH-Silica, 350mg/3mL, with Guard Column, 50/Pk"
"PHEN-SI-90G","SI-90G","Phenomenex","Guard Column, 5µm, 4.6x10"
"PHEN-AS060-B","AS060-B","Phenomenex","SPE Cartridge Frit, 60mL, 1/8in 20µm, 50/Pk"
"PHEN-AS006-B","AS006-B","Phenomenex","SPE Cartridge Frit, 6mL, 1/8in, 20µm, 100/Pk"
"PHEN-AS001-A-2","AS001-A-2","Phenomenex","SPE Cartridge Frit, 1mL, 1/16in, 20µm"
