productId,partNumber,brand,name,description,descriptionQuality,specifications,matchType
WATS-186010419,186010419,Waters,"CORTECS Premier C18+ VanGuard FIT Cartridge, 1.6 µm, 3.9 X 5 mm, 3/pk","CORTECS Premier Cartridges work with the CORTECS Premier VanGuard FIT columns. These fully integrated guard cartridges protect the analytical column from matrix and sample contaminants, extending column lifetime.",high,"{""Chemistry"": ""C18"", ""Separation Mode"": ""Reversed Phase"", ""Particle Substrate"": ""Silica"", ""pH Range Min"": ""2 pH"", ""pH Range Max"": ""8 pH"", ""Maximum Pressure"": ""18000 psi (1240 Bar)"", ""Endcapped"": ""Yes"", ""Bonding Technology"": ""C18+"", ""Silanol Activity"": ""Low"", ""Particle Shape"": ""Spherical"", ""Particle Size"": ""1.6 µm"", ""Endfitting Type"": ""Parker-style"", ""Pore Size"": ""90 Å"", ""Format"": ""VanGuard Cartridge"", ""Surface Area"": ""100"", ""System"": ""UHPLC, UPLC"", ""Particle Technology"": ""Solid Core"", ""Technique"": ""LC"", ""USP Classification"": ""L1"", ""Inner Diameter"": ""2.1 mm"", ""Length"": ""5 mm"", ""Carbon Load"": ""5.7 %"", ""UNSPSC"": ""41115709"", ""Brand"": ""VanGuard"", ""Product Type"": ""Guards"", ""Units per Package"": ""3 pk""}",partial
WATS-186001314,186001314,Waters,"Oasis HLB 6cc Vac Cartridge, 500 mg Sorbent, 30 µm Particle Size, 100/pk",,none,{},not_found
WATS-186001316,186001316,Waters,"Oasis HLB 6cc Vac Cartridge, 1 g Sorbent, 30 µm Particle Size, 100/pk",,none,{},not_found
WATS-186000305,186000305,Waters,"11 mm Silver Aluminum Crimp Cap and PTFE/Silicone Septum, 100/pk",,none,{},not_found
WATS-186000304,186000304,Waters,"Oasis HLB 3cc Vac Cartridge, 30 mg Sorbent, 30 µm Particle Size, 100/pk",,none,{},not_found
WATS-186000306,186000306,Waters,"Oasis HLB 3cc Vac Cartridge, 150 mg Sorbent, 30 µm Particle Size, 100/pk",,none,{},not_found
WATS-186000307,186000307,Waters,"Oasis HLB 3cc Vac Cartridge, 200 mg Sorbent, 30 µm Particle Size, 100/pk",,none,{},not_found
WATS-186000308,186000308,Waters,"Oasis HLB 6 cc Vac Cartridge, 60 mg Sorbent per Cartridge, 30 µm, 100/pk",,none,{},not_found
WATS-186000309,186000309,Waters,"Oasis HLB 6cc Vac Cartridge, 60 mg Sorbent, 30 µm Particle Size, 100/pk",,none,{},not_found
WATS-186000310,186000310,Waters,"Oasis HLB 6cc Vac Cartridge, 150 mg Sorbent, 30 µm Particle Size, 100/pk",,none,{},not_found
WATS-186000311,186000311,Waters,"Oasis HLB 6cc Vac Cartridge, 200 mg Sorbent, 30 µm Particle Size, 100/pk",,none,{},not_found
WATS-186000312,186000312,Waters,"Oasis HLB 6 cc Vac Cartridge, 500 mg Sorbent per Cartridge, 30 µm, 100/pk",,none,{},not_found
WATS-186000313,186000313,Waters,"Oasis HLB 12cc Vac Cartridge, 500 mg Sorbent, 30 µm Particle Size, 50/pk",,none,{},not_found
WATS-186000315,186000315,Waters,"Oasis HLB 12cc Vac Cartridge, 1 g Sorbent, 30 µm Particle Size, 50/pk",,none,{},not_found
WATS-186000317,186000317,Waters,"Oasis HLB 20cc Vac Cartridge, 500 mg Sorbent, 30 µm Particle Size, 50/pk",,none,{},not_found
WATS-186000318,186000318,Waters,"Oasis HLB 20cc Vac Cartridge, 1 g Sorbent, 30 µm Particle Size, 50/pk",,none,{},not_found
WATS-186000319,186000319,Waters,"Oasis HLB 35cc Vac Cartridge, 1 g Sorbent, 30 µm Particle Size, 50/pk",,none,{},not_found
WATS-186000320,186000320,Waters,"Oasis HLB 35cc Vac Cartridge, 2 g Sorbent, 30 µm Particle Size, 50/pk",,none,{},not_found
WATS-186000321,186000321,Waters,"Oasis HLB 60cc Vac Cartridge, 2 g Sorbent, 30 µm Particle Size, 50/pk",,none,{},not_found
WATS-186000259,186000259,Waters,"Oasis MCX 1cc Vac Cartridge, 30 mg Sorbent, 30 µm Particle Size, 100/pk",,none,{},not_found
